season,tournament_name,prestige_1st,prestige_2nd,prestige_3rd,prestige_4th,summer_year,tournament_image_id,player_award_name,player_award_id
Winter,High,0,0,0,0,,600525,Child of Winter,504663
Winter,Mid-High,0,0,0,0,,600525,Child of Winter,504663
Winter,Mid,0,0,0,0,,600525,Child of Winter,504663
Winter,Low-Mid,0,0,0,0,,600525,Child of Winter,504663
Winter,Low,0,0,0,0,,600525,Child of Winter,504663
Spring,Albion and Norsca,70,50,30,10,,519563,Northern Prowess,521972
Spring,Athel Loren,70,50,30,10,,519568,Verdant Vibes,521973
Spring,Cathay and Nippon,70,50,30,10,,519558,Oriental Aesthetics,505817
Spring,Eastern Steppes and Mountains of Mourn,70,50,30,10,,519588,Spill Blood and Rage On!,567996
Spring,Haunted Hills,70,50,30,10,,519585,Horrific,568086
Spring,"Kingdoms Of Ind, Lumbria & the Hinterlands of Khuresh",70,50,30,10,,519586,Snake Charmer,507557
Spring,Lands of the Dead,70,50,30,10,,519554,Timeless Display,521982
Spring,Lustria,70,50,30,10,,519557,With Love From Lustria,593505
Spring,Skavenblight,70,50,30,10,,519553,Greatest of Vile Vermin,522166
Spring,Sylvania,70,50,30,10,,519561,Blood for the Bloodline,518474
Spring,The Chaos Wastelands,70,50,30,10,,519580,Wasteland Warrior,505822
Spring,The Dark Lands,70,50,30,10,,519570,Bull's Eye,549583
Spring,The Deep Caverns,70,50,30,10,,519572,Cavern Climber,521979
Spring,The Empire,70,50,30,10,,519578,Empire’s Fame/Infamy,521963
Spring,The Great Ocean,70,50,30,10,,519571,Wave Rider,511914
Spring,The Old World,70,50,30,10,,519582,Old World Values,505820
Spring,The Realms of Chaos,70,50,30,10,,519584,Devastation From Beyond,544454
Spring,The Southlands and Araby,70,50,30,10,,519579,Southland Salvation,505818
Spring,Ulthuan and Naggaroth,70,50,30,10,,519575,Turn It Up To El(e)ven,544878
Spring,World's Edge Mountains,70,50,30,10,,519577,Bugman's Finest,522167
Spring,Chaos Wastes (1),70,50,30,10,,713599,Wasteland's Champion,715178
Spring,Chaos Wastes (2),70,50,30,10,,713599,Wasteland's Champion,715178
Spring,Chaos Wastes (3),70,50,30,10,,713599,Wasteland's Champion,715178
Spring,Fabled Territories (1),70,50,30,10,,713965,Lore Master,715180
Spring,Fabled Territories (2),70,50,30,10,,713965,Lore Master,715180
Spring,Fabled Territories (3),70,50,30,10,,713965,Lore Master,715180
Spring,Far East (1),70,50,30,10,,713916,Eastern Excellence,715179
Spring,Far East (2),70,50,30,10,,713916,Eastern Excellence,715179
Spring,Far East (3),70,50,30,10,,713916,Eastern Excellence,715179
Spring,Imperial Dominion (1),70,50,30,10,,713964,Empire's Finest,715181
Spring,Imperial Dominion (2),70,50,30,10,,713964,Empire's Finest,715181
Spring,Imperial Dominion (3),70,50,30,10,,713964,Empire's Finest,715181
Spring,Scorched Lands (1),70,50,30,10,,713675,Sundrenched Supremo,715182
Spring,Scorched Lands (2),70,50,30,10,,713675,Sundrenched Supremo,715182
